"combination","validation","FOD_0","log","dist_thr","n_initial","n_removed","percent_removed","n_remaining","mtry","nodesize","ntree","RMSE","RMSE_sd","R2","R2_sd","MAE","MAE_sd"
86,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,5,300,0.625161391998686,0.0827914979282069,0.567738350022096,0.0774658625565808,0.475239619479834,0.0713673126396995
87,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,10,300,0.669198822131144,0.0918026741880178,0.503813589039693,0.0964771510307467,0.511615310733881,0.0685467568749002
88,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,10,300,0.633218759937028,0.0823611158447638,0.558506691968908,0.0633891027487136,0.475971218367859,0.0706543150361924
89,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,1,500,0.650343993336174,0.0959164992713837,0.531029826726883,0.100194878024963,0.496127417681381,0.0687940608651571
90,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,1,500,0.616040605501137,0.0819913283060941,0.582381829221616,0.0604052037053719,0.467429582645486,0.068541782374877
91,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,3,500,0.652054948684344,0.0982376468643761,0.528743084333403,0.100358310277614,0.497244256976841,0.0717087743329166
92,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,3,500,0.618567940636869,0.0868765379016937,0.578145065119256,0.0724853349876833,0.46624814125787,0.0722704193278211
93,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,5,500,0.657546525029462,0.098533422251748,0.521525771469613,0.097657627583872,0.503552724056989,0.0741378339025596
94,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,5,500,0.623723689301156,0.0847873453540566,0.570300990323507,0.0758077800354174,0.473024205315086,0.0725042976084224
95,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,4,10,500,0.667373844733555,0.0945337901763451,0.506783818165791,0.097007328715402,0.510788775881461,0.0708874089776802
96,"RS",FALSE,FALSE,0.5,191,56,29.3193717277487,135,9,10,500,0.633875140835616,0.0826303156053891,0.557362935807822,0.0655452384533652,0.477402702678003,0.0697451305680354
97,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,4,1,100,1.30953321435069,0.630972953279176,-0.692077680736401,0.716722332866473,1.08561958739172,0.553667976012341
98,"LOYO",FALSE,FALSE,0.75,191,77,40.3141361256544,114,9,1,100,1.33495170491805,0.652795145602714,-0.734019424750919,0.71734287859316,1.06964503897887,0.605052756886809
